1992/12/22,少年アシベ ゴマちゃんのゆうえんち大冒険,タカラ,7800
1992/12/22,奇々怪界-謎の黒マント-,ナツメ,8500
1992/12/23,コンバットライブス,テクノスジャパン,9300
1992/12/25,大爆笑!!人生劇場,タイトー,8500
1992/12/25,テクモスーパーNBAバスケットボール,テクモ,8900
1992/12/25,スーパーファイヤープロレスリング2,ヒューマン,8500
1992/12/25,スーパーキックオフ,ミサワエンターテインメント,7700
1992/12/25,麻雀飛翔伝 哭きの竜,アイジーエス,9800
1992/12/25,らんま1/2 爆烈乱闘篇,日本コンピュータシステム,9600
1992/12/25,スーパーバレーII,ビデオシステム,8900
1992/12/28,ザ・キング・オブ・ラリー パリ−モスクワ−北京,メルダック,8800
1992/12/28,史上最強のクイズ王決定戦 SUPER,ヨネザワ,8900
1993/1/3,エルファリア,ハドソン,9500
1993/1/8,エイリアンVSプレデター,アイジーエス,9800
1993/1/14,ブライ 八玉の勇士伝説,アイジーエス,9800
1993/1/16,ヨーロッパ戦線,光栄,12800
1993/1/22,マイト・アンド・マジックBOOK2,ロジーク,8800
1993/1/22,負けるな!魔剣道,データム・ポリスター,8800
1993/1/22,ポピュラス2,イマジニア,9800
1993/1/22,ドラゴンズ・アース,ヒューマン,8500
1993/1/25,うしおととら,ユタカ,8800
1993/1/29,ナムコットオープン,ナムコ,8800
1993/1/29,Q*bert3,バップ,7000
1993/1/29,クリスティーワールド,アクレイムジャパン,8000
1993/1/29,スーパービックリマン,ベック,7800
1993/1/29,スーパー倉庫番,パックインビデオ,7800
1993/1/29,信長公記,やのまん,12500
1993/1/29,ワールドクラスラグビー,ミサワエンターテインメント,7900
1993/2/5,ゲゲゲの鬼太郎 復活! 天魔大王,バンダイ,8800
1993/2/12,プロフットボール'93,エレクトロニックアーツビクター,8900
1993/2/19,ドラえもん のび太と妖精の国,エポック社,8000
1993/2/19,ウォーリーをさがせ!絵本の国の大冒険,トミー,9500
1993/2/19,鋼鉄の騎士,アスミック,9800
1993/2/19,雀闘士 銅鑼王,POW,8900
1993/2/21,スターフォックス,任天堂,9800
1993/2/26,コズモギャング ザ パズル,ナムコ,7900
1993/2/26,バットマンリターンズ,コナミ,8800
1993/2/26,リーディングカンパニー,光栄,12800
1993/2/26,シムアント,イマジニア,12800
1993/2/26,織田信長 覇王の軍団,エンジェル,9500
1993/2/26,Xak,サンソフト,9600
1993/2/26,バトルテック,ビクターエンタテインメント,9800
1993/2/26,NBAプロバスケットボール ブルズVSブレイザーズ,エレクトロニックアーツビクター,8900
1993/2/26,バートの不思議な夢の大冒険,アクレイムジャパン,8800
1993/2/26,F-1 GRAND PRIX PARTII,ビデオシステム,9800
1993/3/5,アルバートオデッセイ,サンソフト,9600
1993/3/5,メタルマックス2,データイースト,9500
1993/3/5,イーハトーヴォ物語,ヘクト,9700
1993/3/5,エキゾースト・ヒート F1ドライバーへの軌跡,セタ,9800
1993/3/5,モノポリー,トミー,9700
1993/3/5,デビルズコース,T&Eソフト,9800
1993/3/5,ジョジョの奇妙な冒険,コブラチーム,9500
1993/3/5,スーパーキックボクシング,エレクトロブレインジャパン,8800
1993/3/12,スーパーファミスタ2,ナムコ,7900
1993/3/12,伝説のオウガバトル,クエスト,9600
1993/3/12,エドノキバ,マイクロワールド,8900
1993/3/12,カリフォルニアゲームズII,ヘクト,8800
1993/3/12,2020年スーパーベースボール,ケイアミューズメントリース,8900
1993/3/19,USAアイスホッケー,ジャレコ,9000
1993/3/19,ジャングルウォーズ2,ポニーキャニオン,9500
